strength,date
2014-00,1446.0
2014-00.5,253.33333333333334
2014-01,455.1818181818182
2014-02,1562.0
2014-02.5,1040.7272727272727
2014-03,328.2142857142857
2014-04,2437.8518518518517
2014-06,426.71875
2014-06.5,284.77777777777777
2014-07,654.6666666666666
2014-08,1129.6041666666667
2014-09,1218.2916666666667
2014-09.5,1113.8636363636363
2014-10,796.7058823529412
2014-10.5,653.9166666666666
2014-11,514.0882352941177
2014-11.5,665.55
2014-12,672.3809523809524
2014-12.5,521.6428571428571
2014-13,718.25
2014-13.5,529.5
2014-14,450.14285714285717
2014-14.5,972.1
2014-15,827.7619047619048
2014-15.5,366.75
2014-16,320.29411764705884
2014-16.5,474.0
2014-18,1503.46875
2014-18.5,1265.842105263158
2014-19,812.5
2014-20,982.1379310344828
2014-20.5,247.95454545454547
2014-21,317.52941176470586
2014-22,2431.6
2014-22.5,326.0
2014-23,1262.1739130434783
2014-24,856.5714285714286
2014-24.5,812.0
2014-25,699.0
2014-25.5,3955.285714285714
2014-26,2196.3333333333335
2014-26.5,1016.0
2014-27,1175.1875
2014-27.5,743.9230769230769
2014-28,1297.7894736842106
2014-29,1263.5263157894738
2014-29.5,1514.952380952381
2014-30,3289.478260869565
2014-30.5,705.4137931034483
2014-31.5,109.0
2014-32,629.45
2014-33.5,2282.1153846153848
2014-34,776.3684210526316
2014-34.5,449.88235294117646
2014-35,896.1379310344828
2014-35.5,1376.1764705882354
2014-36,887.05
2014-36.5,1487.047619047619
2014-37,2005.7368421052631
2014-37.5,1015.8214285714286
2014-38,786.9333333333333
2014-38.5,1434.9666666666667
2014-39,1043.590909090909
2014-39.5,2148.866666666667
2014-40,1115.051282051282
2014-40.5,953.9705882352941
2014-41,4646.766666666666
2014-41.5,2805.40625
2014-42,1688.0217391304348
2014-42.5,1209.4375
2014-43,1802.2083333333333
2014-43.5,1408.9411764705883
2014-44,870.625
2014-44.5,2280.266666666667
2014-45,3480.5384615384614
2014-45.5,4862.75
2014-46,1880.1
2014-46.5,630.6666666666666
2014-47,3215.4146341463415
2014-47.5,1272.7692307692307
2014-48,953.6666666666666
2014-48.5,1789.111111111111
2014-49,3638.0208333333335
2014-49.5,327.5833333333333
2014-50,2388.1935483870966
2014-50.5,540.25
2014-51,1535.3148148148148
2014-51.5,1788.8974358974358
2014-52,1145.8055555555557
2015-00.5,1367.5714285714287
2015-01,1915.423076923077
2015-01.5,393.5
