strength,date
2015-00,698.1
2015-01,3797.04
2015-02,2294.114285714286
2015-03,1360.5735294117646
2015-04,2092.509433962264
2015-05,1249.964705882353
2015-06,1444.7142857142858
2015-07,1276.3283582089553
2015-08,1839.9756097560976
2015-09,880.875
2015-10,1115.8823529411766
2015-11,1518.7906976744187
2015-12,972.4705882352941
2015-13,1697.1666666666667
2015-14,1584.6296296296296
2015-15,2609.529411764706
2015-16,2016.0857142857142
2015-17,612.8157894736842
2015-18,3619.15625
2015-19,1326.862745098039
2015-20,1061.3103448275863
2015-21,747.0344827586207
2015-22,1604.9333333333334
2015-23,290.7647058823529
2015-25,1644.1052631578948
2015-26,2178.125
2015-27,1265.4615384615386
2015-28,1400.8333333333333
2015-29,1456.9473684210527
2015-30,892.8918918918919
2015-31,317.2307692307692
2015-32,872.0
2015-33,819.2692307692307
2015-34,507.3921568627451
2015-35,463.5
2015-36,1001.1538461538462
2015-37,619.2682926829268
2015-39,620.875
2015-40,406.93548387096774
2015-41,1435.4666666666667
2015-42,331.85714285714283
2015-43,408.6666666666667
2015-44,1214.8275862068965
2015-45,738.8478260869565
2015-46,935.8
2015-47,608.4117647058823
2015-48,561.3055555555555
2015-49,487.9142857142857
2015-50,1200.8214285714287
2015-51,1237.7727272727273
2015-52,429.5
2016-00,857.6875
2016-01,387.3333333333333
