strength,date
2015-00.5,698.1
2015-01,5310.588235294118
2015-01.5,580.75
2015-02,954.5
2015-04,1794.1315789473683
2015-04.5,3400.4166666666665
2015-05,1225.7924528301887
2015-05.5,1330.0645161290322
2015-06,71.0
2015-08,3096.318181818182
2015-08.5,385.2631578947368
2015-09,1017.7333333333333
2015-09.5,722.9615384615385
2015-11.5,3142.0
2015-12,1291.2608695652175
2015-12.5,305.90909090909093
2015-13,1319.590909090909
2015-13.5,2112.5
2015-15.5,343.3333333333333
2015-16,2554.2272727272725
2015-16.5,1105.3846153846155
2015-17,776.7307692307693
2015-17.5,295.3333333333333
2015-19.5,1151.0588235294117
2015-20,1061.3103448275863
2015-21,1088.9411764705883
2015-23,411.5
2015-23.5,160.5
2015-25,210.75
2015-27.5,2292.75
2015-28,1400.8333333333333
2015-31.5,237.33333333333334
2015-32.5,872.0
2015-33,516.1666666666666
2015-36,270.0
2015-36.5,1458.125
2015-37,1243.3333333333333
2015-39,602.3333333333334
2015-39.5,632.0
2015-40,221.5
2015-40.5,524.0526315789474
2015-43,408.6666666666667
2015-44,479.0
2015-44.5,2422.7
2015-47,608.4117647058823
2015-48,510.7142857142857
2015-48.5,632.1333333333333
2015-50.5,217.85714285714286
2015-51,1486.1764705882354
2015-51.5,393.2
2015-52,388.47058823529414
2015-52.5,662.0
