strength,date
2022-00.5,342.8
2022-01,575.2727272727273
2022-01.5,705.75
2022-02,932.4117647058823
2022-02.5,632.5555555555555
2022-03,715.75
2022-03.5,40.5
2022-04.5,576.125
2022-05,626.0909090909091
2022-05.5,340.2
2022-06,667.7
2022-06.5,727.0909090909091
2022-07,3179.222222222222
2022-07.5,1991.111111111111
2022-08,1246.75
2022-08.5,1189.625
2022-09,1489.111111111111
2022-09.5,524.2307692307693
2022-10,317.1333333333333
2022-10.5,80.66666666666667
2022-11,586.7368421052631
2022-11.5,312.72727272727275
2022-12,957.9285714285714
2022-12.5,1425.2142857142858
2022-13,1197.8333333333333
2022-13.5,1229.2857142857142
2022-14,623.0909090909091
2022-14.5,1489.8333333333333
2022-15,2224.6923076923076
2022-15.5,2479.769230769231
2022-16,733.9615384615385
2022-16.5,878.375
2022-17,595.0769230769231
2022-17.5,1302.6
2022-18,1025.2962962962963
2022-18.5,2725.1666666666665
2022-19,3222.3571428571427
2022-19.5,1628.076923076923
2022-20,610.5
2022-20.5,936.4761904761905
2022-21,737.1333333333333
2022-21.5,1102.3684210526317
2022-22,1318.0
2022-22.5,2014.0416666666667
2022-23,1928.3478260869565
2022-23.5,1110.6666666666667
2022-24,573.4583333333334
2022-24.5,382.7
2022-25,612.5882352941177
2022-25.5,872.3333333333334
2022-26,1015.2105263157895
2022-26.5,1771.5384615384614
2022-27,1453.6666666666667
2022-27.5,920.25
2022-28,358.5
2022-28.5,1205.5454545454545
2022-29,700.8888888888889
2022-29.5,822.8888888888889
2022-30,795.3658536585366
2022-30.5,1067.4642857142858
2022-31,999.2173913043479
2022-31.5,519.0833333333334
2022-32,650.25
2022-32.5,763.1666666666666
2022-33,85.33333333333333
2022-34.5,839.7142857142857
2022-35,932.8620689655172
2022-35.5,1730.095238095238
2022-36,2067.25
2022-36.5,2558.181818181818
2022-37,2391.5
2022-37.5,2486.4285714285716
2022-38,1257.6176470588234
2022-38.5,1974.1739130434783
2022-39,1636.0
2022-39.5,2192.0
2022-40,1276.5185185185185
2022-40.5,760.8571428571429
2022-41,804.6444444444444
2022-41.5,1518.923076923077
2022-42,1132.1666666666667
2022-42.5,1499.8333333333333
2022-43,2201.264705882353
2022-43.5,2347.45
2022-44,1685.0967741935483
2022-44.5,1091.409090909091
2022-45,637.4516129032259
2022-45.5,698.75
2022-46,566.03125
2022-46.5,965.0
2022-47,1664.0833333333333
2022-47.5,2610.285714285714
2022-48,2029.125
2022-48.5,1030.6190476190477
2022-49,762.5
2022-49.5,738.3809523809524
2022-50,1802.9166666666667
2022-50.5,1371.96875
2022-51,1228.4
2022-51.5,2348.6129032258063
2022-52,2117.0943396226417
2022-52.5,2954.1363636363635
