Semana,Filas_unicas,strength,date
2013-00,5.0,2013-00,570.125
2013-01,6.0,2013-01,696.75
2013-02,1.0,2013-02,642.0
2013-03,1.0,2013-03,332.8888888888889
2013-04,3.0,2013-04,236.92857142857144
2013-05,0.0,2013-05,10.0
2013-06,1.0,2013-08,622.7142857142857
2013-07,3.0,2013-09,474.07142857142856
2013-08,3.0,2013-11,665.0
2013-09,4.0,2013-12,667.7692307692307
2013-10,3.0,2013-13,268.45454545454544
2013-11,0.0,2013-14,447.0
2013-12,2.0,2013-15,488.2647058823529
2013-13,5.0,2013-16,889.3968253968254
2013-14,1.0,2013-17,624.8611111111111
2013-15,1.0,2013-18,699.75
2013-16,2.0,2013-19,939.88
2013-17,4.0,2013-20,586.1428571428571
2013-18,3.0,2013-21,358.90909090909093
2013-19,4.0,2013-24,313.0
2013-20,2.0,2013-25,410.0
2013-21,4.0,2013-26,294.0
2013-22,0.0,2013-27,276.42857142857144
2013-23,3.0,2013-28,484.2941176470589
2013-24,3.0,2013-29,317.03846153846155
2013-25,2.0,2013-30,478.6
2013-26,3.0,2013-31,877.7142857142857
2013-27,0.0,2013-32,508.7142857142857
2013-28,4.0,2013-33,505.9047619047619
2013-29,1.0,2013-34,694.75
2013-30,3.0,2013-35,369.1666666666667
2013-31,2.0,2013-36,1318.75
2013-32,1.0,2013-37,907.4
2013-33,2.0,2013-39,862.5
2013-34,5.0,2013-40,502.7647058823529
2013-35,1.0,2013-41,601.6315789473684
2013-36,1.0,2013-42,928.6
2013-37,5.0,2013-43,1359.5757575757575
2013-38,1.0,2013-44,1522.6060606060605
2013-39,3.0,2013-45,736.9310344827586
2013-40,3.0,2013-46,734.5833333333334
2013-41,5.0,2013-47,734.8333333333334
2013-42,2.0,2013-48,950.3333333333334
2013-43,6.0,2013-49,1139.75
2013-44,4.0,2013-50,1051.75
2013-45,5.0,2013-51,865.28
2013-46,2.0,2013-52,1696.75
2013-47,2.0,,
2013-48,1.0,,
2013-49,6.0,,
2013-50,3.0,,
2013-51,2.0,,
2013-52,0.0,,
